Energy,Optimal_t
11.79334,175786.240234375
11.8578,175786.240234375
12.0393,219731.55029296875
12.0877,219731.55029296875
12.1603,219731.55029296875
12.3418,219731.55029296875
12.60708,219731.55029296875
13.47697,263676.8603515625
14.40688,351567.48046875
15.40095,439458.1005859375
16.46362,527348.720703125
17.59961,703129.9609375
18.81398,703129.9609375
20.11215,1054692.44140625
21.49988,1054692.44140625
22.98338,1406254.921875
24.56923,1757817.40234375
26.2645,2109379.8828125
28.07676,2812504.84375
30.01405,2812504.84375
32.08502,3515629.8046875
34.29889,4218754.765625
36.66551,5625004.6875
39.19543,5625004.6875
41.89992,7031254.609375
44.79101,8437504.53125
47.88159,11250004.375
51.18542,11250004.375
54.71721,14062504.21875
58.4927,14062504.21875
62.5287,16875004.0625
66.84318,22500003.75
68.1345,22500003.75
69.17738,22500003.75
69.45548,22500003.75
69.87263,22500003.75
70.9155,22500003.75
71.45536,22500003.75
76.38578,22500003.75
81.6564,28125003.4375
87.29069,28125003.4375
93.31374,28125003.4375
99.75239,33750003.125
106.6353,33750003.125
113.9931,45000002.5
121.8587,45000002.5
130.2669,45000002.5
139.2553,45000002.5
148.864,45000002.5
159.1356,45000002.5
170.1159,56250001.875
181.8539,56250001.875
194.4018,56250001.875
207.8156,56250001.875
222.1548,56250001.875
237.4835,67500001.25
253.8699,67500001.25
271.3869,67500001.25
290.1126,67500001.25
310.1304,67500001.25
331.5294,78750000.625
354.4049,78750000.625
378.8588,78750000.625
405.0001,78750000.625
432.9451,84375000.3125
